participant_idx,trial_number,condition,reaction_time,movement_time,second_cohort_n77,unnamed_1,unnamed_2,unnamed_3,handtarget_distance_cm,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,handtarget_lag_ms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,residual_handtarget_distance_cm_after_lag_compensation,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S14,M,1.4638791,1.2123577,1.098272,1.3424513,1.2343039,1.3123365,1.1255746,1.1539033,1.3219085,1.0352117,NaN,52,42,37,35,37,49,36,40,52,41,NaN,1.2526062,1.0859352,1.0109634,1.1971239,1.0553798,1.1263443,0.99622854,0.99508435,1.1554365,0.8297547
NaN,NaN,NaN,NaN,NaN,S15,M,1.321473,1.4214144,1.3483313,1.1768044,1.2568871,1.1897122,1.0723805,1.3277107,1.008641,1.3488423,NaN,40,54,38,41,43,37,29,30,19,57,NaN,1.1810231,1.2083038,1.2459678,1.0350934,1.1187847,1.0739931,1.0043426,1.209965,0.97846131,1.0877489
NaN,NaN,NaN,NaN,NaN,S16,M,2.0360075,2.0436058,2.232896,1.8255252,2.1157093,1.9277836,1.7041836,2.0978208,2.2536556,2.2315024,NaN,96,76,103,81,94,78,66,91,91,87,NaN,1.4338769,1.6146972,1.6626393,1.3835959,1.5400952,1.3829903,1.3340535,1.4909071,1.7718352,1.8544953
NaN,NaN,NaN,NaN,NaN,S17,M,1.2403883,1.0488677,1.3599089,1.232228,1.2137266,1.4538478,1.1150651,1.4000889,1.1900434,1.3769293,NaN,21,42,47,52,41,47,33,54,28,52,NaN,1.2000856,0.86788833,1.1845915,0.93129443,1.0063082,1.2541152,1.0115139,1.0954285,1.0925159,1.1345803
NaN,NaN,NaN,NaN,NaN,S18,M,1.8635053,1.0930239,2.0213735,1.6618475,2.2351766,1.4544008,1.704122,1.7382325,2.0404895,1.5871184,NaN,41,33,19,-17,35,32,53,24,48,35,NaN,1.7557759,0.9668605,1.9950567,1.7208373,2.1748444,1.3812336,1.4563303,1.6749045,1.8477597,1.4725484
NaN,NaN,NaN,NaN,NaN,S19,M,2.01061,2.0959838,1.6641928,1.6519953,1.4250364,1.6205207,1.7057778,1.4654774,1.8614051,1.3004253,NaN,71,40,28,67,13,18,37,36,12,49,NaN,1.7432389,1.9753166,1.5746329,1.3240275,1.3875984,1.5786417,1.6020708,1.3890872,1.8661892,1.0643892
NaN,NaN,NaN,NaN,NaN,S20,M,1.3257393,1.993673,2.0405679,1.213073,1.5321629,1.1930875,1.2841211,1.8561561,1.5954777,1.6522956,NaN,28,51,66,46,35,30,42,34,41,71,NaN,1.253478,1.7987182,1.7424429,0.99173948,1.4299047,1.096441,1.0940156,1.6989237,1.4749912,1.1949368
NaN,NaN,NaN,NaN,NaN,S21,M,1.447363,1.835269,1.4220752,1.2733737,1.2457783,1.3051643,1.1363336,1.2025382,1.5447287,1.060717,NaN,42,58,51,51,37,38,41,28,57,36,NaN,1.3431062,1.6544394,1.204802,1.0941838,1.1574903,1.2368832,0.9333967,1.1160736,1.3221417,0.92354721
NaN,NaN,NaN,NaN,NaN,S22,M,1.5216689,1.2907169,1.7398688,1.484139,1.5694568,1.3464855,1.481202,1.3272282,1.3626531,1.4157581,NaN,45,38,49,33,50,50,31,42,57,36,NaN,1.3642008,1.1388147,1.5648894,1.435279,1.3941988,1.0697966,1.4141344,1.1400919,1.1109558,1.3091985
NaN,NaN,NaN,NaN,NaN,S23,M,1.9205906,2.4459889,1.9202552,2.2048539,1.8019883,1.877212,1.9819441,2.2783411,1.6956016,1.7042202,NaN,33,52,76,72,80,42,68,107,50,32,NaN,1.84346,2.3607226,1.589943,1.9905427,1.3921254,1.7481958,1.6891928,1.8993693,1.5926545,1.6535702
NaN,NaN,NaN,NaN,NaN,S24,M,1.9476489,2.1747695,1.4820836,2.1477136,1.9971602,1.7429348,1.7775845,1.5474797,1.8307206,1.6876705,NaN,66,56,28,21,38,67,67,40,69,66,NaN,1.7109292,2.0147907,1.4340125,2.238073,1.8866834,1.4444535,1.4902047,1.4554185,1.5182817,1.2832824
NaN,NaN,NaN,NaN,NaN,S25,M,1.8037791,1.3361864,1.8814454,1.5301518,1.658168,1.6360244,1.8274377,1.3948491,1.9044093,1.7072154,NaN,50,13,36,35,51,39,50,37,42,58,NaN,1.673572,1.3281015,1.795351,1.4522681,1.5091562,1.4924888,1.6783654,1.2826057,1.8074024,1.4703644
NaN,NaN,NaN,NaN,NaN,S26,M,1.1596843,1.2078725,1.2218101,1.2150764,1.0307466,1.1107998,1.1232502,1.384151,1.1136153,1.1227679,NaN,19,18,24,30,15,22,28,27,35,30,NaN,1.1393341,1.1647385,1.1351177,1.0972223,0.99014066,1.0590586,1.0360877,1.3189031,0.93165859,1.0401902
NaN,NaN,NaN,NaN,NaN,S27,F,1.6772969,1.8287301,1.579822,1.9830452,1.6241074,1.7261825,1.6740185,1.5601818,1.5515028,1.7794417,NaN,87,91,72,95,86,79,81,79,62,78,NaN,1.0869514,1.1204728,1.1301773,1.2990205,1.0146726,1.2164552,1.093266,0.93585749,1.2286485,1.3809009
NaN,NaN,NaN,NaN,NaN,S28,F,1.8445134,1.7747615,1.8017423,1.5114336,2.0358316,1.4563673,1.5767196,1.7436313,1.6270785,1.8178784,NaN,48,28,57,37,55,45,40,64,26,48,NaN,1.670571,1.6937292,1.5399252,1.3959325,1.8660548,1.2399682,1.4597198,1.4527777,1.5708435,1.6405515
NaN,NaN,NaN,NaN,NaN,S29,F,1.9155276,2.0948514,1.821582,1.8920822,1.8786977,1.8553238,1.9468496,2.1452887,1.9968553,1.8244647,NaN,93,69,59,74,85,89,69,98,80,67,NaN,1.2756045,1.8083762,1.4832548,1.4914117,1.2545125,1.2296464,1.6099592,1.6179535,1.5481928,1.5042316
NaN,NaN,NaN,NaN,NaN,S30,F,2.034126,1.2530491,1.6030689,1.6463573,1.7067278,1.4307976,1.501055,1.3296823,1.757999,1.3606994,NaN,38,29,36,12,39,36,53,43,37,44,NaN,1.9289759,1.1772928,1.4859904,1.6283364,1.6089311,1.3037856,1.2976782,1.1091198,1.6495689,1.1639612
NaN,NaN,NaN,NaN,NaN,S31,F,1.5263945,1.3270375,1.4286767,1.5511862,1.426575,1.5008865,1.3725381,1.7725975,1.2647549,1.5494901,NaN,39,36,25,10,19,19,6,59,35,57,NaN,1.3921198,1.2108989,1.3830127,1.5274034,1.3958081,1.4668325,1.3667233,1.4576935,1.1422187,1.3021749
NaN,NaN,NaN,NaN,NaN,S32,F,1.3953879,1.6316585,1.566163,1.6978988,1.4775134,1.6917998,1.5770661,1.5238006,1.7699538,1.5969977,NaN,39,43,38,57,44,63,49,46,54,59,NaN,1.2659766,1.4895814,1.4538531,1.4097182,1.3357005,1.4836701,1.3797014,1.3822437,1.5769021,1.2816884
NaN,NaN,NaN,NaN,NaN,S33,F,1.9715203,1.9512512,1.8623735,1.6946895,1.7246658,1.8264598,2.7025271,1.6711971,1.4795047,1.9027303,NaN,82,82,76,67,73,89,21,70,55,85,NaN,1.4246902,1.4911284,1.3771468,1.3618853,1.4167886,1.207869,2.5173588,1.286918,1.2024658,1.3518326
NaN,NaN,NaN,NaN,NaN,S34,F,1.5622902,1.9365051,1.8483374,2.2064176,1.8592222,1.7537031,2.0868914,1.6099454,1.8261916,1.7777355,NaN,70,75,82,101,62,70,85,69,78,81,NaN,1.1276948,1.6057703,1.3427054,1.7177935,1.5584168,1.2915148,1.6729286,1.2016852,1.4454874,1.3042347
